구별,강간,강도,살인,절도,폭력,강간 검거,강도 검거,살인 검거,절도 검거,폭력 검거,인구수,CCTV,범죄,검거
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,0.9534724598015737,0.6613856703712462,100,18,10,100,100,570500.0,2780,0.8945402534855443,98.79518072289156
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4457748888128634,0.28966658784582644,100,8,3,100,100,453233.0,773,0.22331025385578157,93.67469879518072
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.12692439274717754,0.2747694490423268,100,13,8,100,100,330192.0,748,0.2989492673125259,96.6867469879518
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5620937393089291,0.42823362497044226,100,14,8,100,100,525515.0,1496,0.5227334956846023,96.98795180722891
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.6715703044816969,0.26909434854575554,100,26,4,100,100,372164.0,707,0.4068875217791357,99.3975903614458
구로구,0.515850144092219,0.588235294117647,0.5,0.43516934656175155,0.35942303144951526,100,11,6,100,100,447874.0,1561,0.4797355632442265,95.48192771084338
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.17242559014710912,0.13407424923149686,100,6,4,100,100,255082.0,1015,0.1179734153526947,93.37349397590361
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.3865891207663359,0.2922676755734216,100,7,10,100,100,569384.0,1265,0.3473891475936564,95.48192771084338
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100,10,3,100,100,348646.0,485,0.06372549019607843,94.27710843373494
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.3140608963393773,0.25088673445258924,100,13,5,100,100,369496.0,1294,0.298029363418946,95.78313253012048
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2743756414642491,0.10002364625206905,100,5,5,100,100,412520.0,1091,0.27741418539544194,93.37349397590361
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5104344851180294,0.353747930952944,100,10,8,100,100,389649.0,574,0.4893816603628639,95.78313253012048
서대문구,0.1498559077809798,0.0,0.0,0.25624358535750935,0.13454717427287777,100,4,2,100,100,327163.0,962,0.10812933348227338,92.16867469879519
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5378036264112214,0.21565381886970914,100,6,6,100,100,450310.0,1930,0.4654736555250791,93.97590361445783
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.18611016079370513,0.029557815086308836,100,8,4,100,100,311244.0,1062,0.1373586050646845,93.97590361445783
성북구,0.13832853025936598,0.0,0.24999999999999997,0.24700650017105708,0.1707259399385198,100,4,5,100,100,461260.0,1464,0.16121219407378856,93.07228915662651
송파구,0.340057636887608,0.4705882352941176,0.75,0.7444406431748204,0.42752423740837076,100,10,10,100,100,667483.0,618,0.5465221505529834,96.3855421686747
양천구,0.8069164265129682,0.8235294117647058,0.6666666666666666,0.9999999999999999,1.0,100,16,13,100,100,479978.0,2034,0.8594225009888682,99.09638554216868
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6503592199794731,0.4930243556396311,100,20,12,100,100,402985.0,904,0.7399159082073943,100.0
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.16900444748546017,0.13312839914873498,100,14,5,100,100,244203.0,1624,0.26933485886743913,96.08433734939759
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.2911392405063291,0.27571529912508874,100,6,3,100,100,494388.0,1873,0.21398400619152627,93.07228915662651
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.3835100923708519,0.19058879167651932,100,9,5,100,100,162820.0,1002,0.31489888626305396,94.57831325301204
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5080396852548751,0.1742728777488768,100,6,2,100,100,133240.0,671,0.2393810863703158,92.7710843373494
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.36674649332877174,0.32158902813904,100,9,12,100,100,414503.0,660,0.44058002738787205,96.6867469879518
